method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x
load;jobs.csv;484e302528a6;18;0;0;0;0;142000;32;133%;38400;1.02;3.40;0;0;4096;220893;3.32;0;0;0;0;0;369;0
gantt;jobs.csv;484e302528a6;19;0;0;0;0;127880;32;158%;35725;1.16;2.24;0;0;4096;417212;2.15;0;0;0;0;0;366;0
load;jobs.csv;484e302528a6;19;0;0;0;0;142112;32;131%;38249;1.02;3.36;0;0;4096;206991;3.33;0;0;0;0;0;365;0
gantt;jobs.csv;484e302528a6;20;0;0;0;0;128432;32;156%;35694;1.16;2.30;0;0;4096;214560;2.21;0;0;0;0;0;366;0
load;jobs.csv;484e302528a6;20;0;0;0;0;141568;32;133%;38261;1.12;3.30;0;0;4096;545;3.32;0;0;0;0;0;367;0
gantt;jobs.csv;484e302528a6;21;0;0;0;0;128436;32;153%;35615;1.04;2.34;0;0;4096;216587;2.21;0;0;0;0;0;352;0
load;jobs.csv;484e302528a6;21;0;0;0;0;141796;32;135%;38321;1.15;3.27;0;0;4096;111;3.27;0;0;0;0;0;363;0
gantt;jobs.csv;484e302528a6;22;0;0;0;0;128152;32;160%;35679;1.19;2.28;0;0;4096;81;2.16;0;0;0;0;0;365;0
load;jobs.csv;484e302528a6;22;0;0;0;0;141568;32;134%;38312;1.06;3.30;0;0;4096;153;3.24;0;0;0;0;0;364;0
gantt;jobs.csv;484e302528a6;23;0;0;0;0;128112;32;160%;35806;1.20;2.27;0;0;4096;100;2.16;0;0;0;0;0;361;0
load;jobs.csv;484e302528a6;23;0;0;0;0;141696;32;136%;38354;1.10;3.28;0;0;4096;219675;3.22;0;0;0;0;0;359;0
gantt;jobs.csv;484e302528a6;24;0;0;0;0;128360;32;158%;35706;1.18;2.23;0;0;4096;222755;2.16;0;0;0;0;0;370;0
load;jobs.csv;484e302528a6;24;0;0;0;0;141908;32;136%;38330;1.04;3.30;0;0;4096;432344;3.18;0;0;0;0;0;359;0
gantt;jobs.csv;484e302528a6;25;0;0;0;0;128284;32;148%;35762;1.53;2.40;0;0;4096;219275;2.64;0;0;0;0;0;362;0
load;jobs.csv;484e302528a6;25;0;0;0;0;141868;32;136%;38227;1.15;3.23;0;0;4096;205126;3.21;0;0;0;0;0;363;0
gantt;jobs.csv;484e302528a6;26;0;0;0;0;128244;32;153%;35965;1.10;2.27;0;0;4096;188685;2.19;0;0;0;0;0;361;0
load;jobs.csv;484e302528a6;26;0;0;0;0;141508;32;136%;38218;1.14;3.17;0;0;4096;433467;3.15;0;0;0;0;0;363;0
gantt;jobs.csv;484e302528a6;27;0;0;0;0;128356;32;160%;35645;1.19;2.26;0;0;4096;213498;2.15;0;0;0;0;0;362;0
load;jobs.csv;484e302528a6;27;0;0;0;0;141748;32;136%;38272;1.12;3.24;0;0;4096;118;3.20;0;0;0;0;0;365;0
gantt;jobs.csv;484e302528a6;28;0;0;0;0;128396;32;156%;35737;1.17;2.25;0;0;4096;240;2.18;0;0;0;0;0;367;0
